Orgao;Valor Pago
SECRETARIA MUNICIPAL DE HABITAÇÃO                                                         ;0,00
SECRETARIA MUNICIPAL DE INFRAESTRUTURA                                                    ;635.319.094,00
SECRETARIA MUNICIPAL DE INFRAESTRUTURA, HABITAÇÃO E CONSERVAÇÃO                           ;0,00
SECRETARIA MUNICIPAL DE MEIO AMBIENTE DA CIDADE                                           ;52.227.480,00
SECRETARIA MUNICIPAL DE OBRAS                                                             ;0,00
SECRETARIA MUNICIPAL DE ORDEM PÚBLICA                                                     ;30.318.293,00
SECRETARIA MUNICIPAL DE PLANEJAMENTO URBANO                                               ;59.050.135,00
SECRETARIA MUNICIPAL DE PROTEÇÃO E DEFESA DOS ANIMAIS                                     ;0,00
SECRETARIA MUNICIPAL DE SAÚDE                                                             ;4.908.189.941,00
SECRETARIA MUNICIPAL DE TRABALHO E RENDA                                                  ;26.828.105,00
SECRETARIA MUNICIPAL DE TRANSPORTES                                                       ;45.759.083,00
SECRETARIA MUNICIPAL DE TURISMO                                                           ;11.883.270,00
SECRETARIA MUNICIPAL DE URBANISMO                                                         ;0,00
SECRETARIA MUNICIPAL DO ENVELHECIMENTO SAUDÁVEL E QUALIDADE DE VIDA                       ;16.484.090,00
SECRETARIA MUNICIPAL DO ENVELHECIMENTO SAUDÁVEL, QUALIDADE DE VIDA E EVENTOS              ;0,00
VICE-PREFEITURA                                                                           ;0,00
