Orgao;Valor Pago
PROCURADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                         ;173.143.893,00
RESERVA DE CONTINGÊNCIA                                                                   ;46.600.000,00
RIOCENTRO S.A. - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO              ;8.624.660,00
SECRETARIA ESPECIAL DE TURISMO                                                            ;0,00
SECRETARIA ESPECIAL DO ENVELHECIMENTO SAUDÁVEL E QUALIDADE DE VIDA                        ;0,00
SECRETARIA MUNICIPAL DA CASA CIVIL                                                        ;444.336.641,00
SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL E DIREITOS HUMANOS                             ;309.774.815,00
SECRETARIA MUNICIPAL DE CONSERVAÇÃO E MEIO AMBIENTE                                       ;378.309.412,00
SECRETARIA MUNICIPAL DE CONSERVAÇÃO E SERVIÇOS PÚBLICOS                                   ;0,00
SECRETARIA MUNICIPAL DE CULTURA                                                           ;145.726.212,00
SECRETARIA MUNICIPAL DE DESENVOLVIMENTO, EMPREGO E INOVAÇÃO                               ;79.995.468,00
SECRETARIA MUNICIPAL DE EDUCAÇÃO                                                          ;6.704.860.066,00
SECRETARIA MUNICIPAL DE EDUCAÇÃO, ESPORTES E LAZER                                        ;0,00
SECRETARIA MUNICIPAL DE FAZENDA                                                           ;489.784.152,00
SECRETARIA MUNICIPAL DE OBRAS                                                             ;0,00
SECRETARIA MUNICIPAL DE ORDEM PÚBLICA                                                     ;59.715.147,00
SECRETARIA MUNICIPAL DE RELAÇÕES INSTITUCIONAIS                                           ;0,00
SECRETARIA MUNICIPAL DE SAÚDE                                                             ;5.871.478.607,00
SECRETARIA MUNICIPAL DE TRANSPORTES                                                       ;49.018.140,00
SECRETARIA MUNICIPAL DE URBANISMO, INFRAESTRUTURA E HABITAÇÃO                             ;569.644.891,00
