Orgao;Valor Pago;Pago + RP
SECRETARIA MUNICIPAL DE TRABALHO E RENDA                                                  ;19.817.921,30;22.392.251,76
FUNDO DE DESENVOLVIMENTO ECONÔMICO E TRABALHO DO MRJ                                      ;0,00;0,00
FUNDO MUNICIPAL DO TRABALHO                                                               ;0,00;7.999,00
FUNDAÇÃO PLANETÁRIO DA CIDADE DO RIO DE JANEIRO                                           ;5.586.773,29;5.586.773,29
SECRETARIA MUNICIPAL DO ENVELHECIMENTO SAUDÁVEL E QUALIDADE DE VIDA                       ;31.062.601,95;37.331.318,47
FUNDO MUNICIPAL DO IDOSO                                                                  ;214.919,50;408.531,59
SECRETARIA MUNICIPAL DE TRANSPORTES                                                       ;1.732.471.753,36;2.029.387.855,14
FUNDO DE MOBILIDADE URBANA SUSTENTÁVEL                                                    ;11.900.000,00;22.565.000,00
COMPANHIA DE ENGENHARIA DE TRÁFEGO DO RIO DE JANEIRO                                      ;201.353.225,67;227.638.808,76
SECRETARIA MUNICIPAL DE CULTURA                                                           ;146.165.470,99;197.119.920,94
FUNDO MUNICIPAL DE CULTURA                                                                ;0,00;0,00
FUNDAÇÃO PLANETÁRIO DA CIDADE DO RIO DE JANEIRO                                           ;0,00;1.947,64
FUNDAÇÃO CIDADE DAS ARTES                                                                 ;15.832.918,52;15.832.918,52
DISTRIBUIDORA DE FILMES S.A. - RIOFILME                                                   ;26.206.374,26;26.206.374,26
ENCARGOS GERAIS DO MUNICÍPIO                                                              ;4.699.410.857,81;4.862.945.932,13
SECRETARIA MUNICIPAL DE HABITAÇÃO                                                         ;26.904.244,35;32.149.787,46
FUNDO MUNICIPAL DE HABITAÇÃO                                                              ;82.993.314,79;98.396.120,36
FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL                                          ;0,00;0,00
SECRETARIA MUNICIPAL DE TURISMO                                                           ;12.591.523,29;14.517.624,92
FUNDAÇÃO CIDADE DAS ARTES                                                                 ;0,00;1.436.847,22
EMPRESA DE TURISMO DO MUNICÍPIO DO RIO DE JANEIRO                                         ;116.552.822,49;139.511.185,62
SECRETARIA MUNICIPAL DE CIÊNCIA E TECNOLOGIA                                              ;41.947.496,57;43.029.912,19
SECRETARIA MUNICIPAL DE PROTEÇÃO E DEFESA DOS ANIMAIS                                     ;19.141.579,34;21.316.582,39
FUNDO DE PROTEÇÃO ANIMAL                                                                  ;0,00;0,00
SECRETARIA MUNICIPAL DE ORDEM PÚBLICA                                                     ;38.642.532,90;42.726.841,04
FUNDO ESPECIAL DE ORDEM PÚBLICA                                                           ;22.489.932,17;24.411.794,65
GUARDA MUNICIPAL DO RIO DE JANEIRO                                                        ;625.105.461,54;676.609.796,14
SECRETARIA MUNICIPAL DA PESSOA COM DEFICIÊNCIA                                            ;59.610.452,48;65.084.304,89
GABINETE DO PREFEITO                                                                      ;121.257.912,37;145.016.996,01
SECRETARIA MUNICIPAL DE CONSERVAÇÃO                                                       ;595.214.871,54;717.796.646,93
COMPANHIA MUNICIPAL DE LIMPEZA URBANA                                                     ;2.365.929.382,32;2.601.997.833,42
VICE-PREFEITURA                                                                           ;795.765,16;851.816,82
SECRETARIA MUNICIPAL DE COORDENAÇÃO GOVERNAMENTAL                                         ;395.282.252,13;395.282.252,13
SECRETARIA DE POLÍTICAS E PROMOÇÃO DA MULHER                                              ;31.230.702,23;34.859.794,64
SECRETARIA ESPECIAL DE INTEGRAÇÃO METROPOLITANA                                           ;5.862.035,32;6.820.786,65
SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, INOVAÇÃO E SIMPLIFICAÇÃO               ;58.200.319,72;64.560.993,30
SECRETARIA ESPECIAL DA JUVENTUDE CARIOCA                                                  ;32.915.792,46;39.339.165,94
SECRETARIA ESPECIAL DE AÇÃO COMUNITÁRIA                                                   ;76.670.669,00;89.693.381,07
SECRETARIA ESPECIAL DE CIDADANIA                                                          ;3.332.312,97;3.551.733,70
FUNDO MUNICIPAL DE PROTEÇÃO E DEFESA DO CONSUMIDOR                                        ;2.054.065,86;2.192.532,73
SECRETARIA MUNICIPAL DE INTEGRIDADE, TRANSPARÊNCIA E PROTEÇÃO DE DADOS                    ;20.518.099,00;20.518.099,00
EMPRESA MUNICIPAL DE INFORMÁTICA S.A.                                                     ;106.356.741,18;106.356.741,18
SECRETARIA ESPECIAL DE INCLUSÃO E DIVERSIDADE RELIGIOSA                                   ;1.386.854,36;1.386.854,36
RESERVA DE CONTINGÊNCIA                                                                   ;0,00;0,00
