Orgao;Valor Pago
RESERVA DE CONTINGÊNCIA                                                                   ;20.569.057,00
RIOCENTRO S.A. - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO              ;3.918.000,00
SECRETARIA ESPECIAL DA COPA 2014 E RIO 2016                                               ;0,00
SECRETARIA ESPECIAL DE CIÊNCIA E TECNOLOGIA                                               ;1.609.000,00
SECRETARIA ESPECIAL DE COMUNICAÇÃO SOCIAL                                                 ;0,00
SECRETARIA ESPECIAL DE DESENVOLVIMENTO ECONÔMICO CIÊNCIA E TECNOLOGIA                     ;0,00
SECRETARIA ESPECIAL DE DESENVOLVIMENTO ECONÔMICO SOLIDÁRIO                                ;1.627.000,00
SECRETARIA ESPECIAL DE PREVENÇÃO À DEPENDÊNCIA QUÍMICA                                    ;0,00
SECRETARIA ESPECIAL DE PROMOÇÃO E DEFESA DOS ANIMAIS                                      ;1.288.000,00
SECRETARIA ESPECIAL DE PUBLICIDADE, PROPAGANDA E PESQUISA                                 ;0,00
SECRETARIA ESPECIAL DE TURISMO                                                            ;4.272.800,00
SECRETARIA ESPECIAL DO ENVELHECIMENTO SAUDÁVEL E QUALIDADE DE VIDA                        ;2.288.600,00
SECRETARIA EXTRAORDINÁRIA DA QUALIDADE DE VIDA                                            ;12.450.600,00
SECRETARIA MUNICIPAL DA CASA CIVIL                                                        ;48.738.800,00
SECRETARIA MUNICIPAL DA ORDEM PÚBLICA                                                     ;2.570.000,00
SECRETARIA MUNICIPAL DA PESSOA COM DEFICIÊNCIA                                            ;17.711.710,00
SECRETARIA MUNICIPAL DAS CULTURAS                                                         ;0,00
SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO                                                     ;47.762.105,00
SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                ;114.809.230,00
SECRETARIA MUNICIPAL DE CULTURA                                                           ;53.915.116,00
SECRETARIA MUNICIPAL DE EDUCAÇÃO                                                          ;2.313.790.888,00
SECRETARIA MUNICIPAL DE ESPORTES E LAZER                                                  ;58.365.430,00
SECRETARIA MUNICIPAL DE FAZENDA                                                           ;168.623.155,00
SECRETARIA MUNICIPAL DE GOVERNO                                                           ;34.292.080,00
SECRETARIA MUNICIPAL DE HABITAÇÃO                                                         ;364.852.813,00
SECRETARIA MUNICIPAL DE MEIO AMBIENTE                                                     ;45.220.000,00
SECRETARIA MUNICIPAL DE OBRAS E CONSERVAÇÃO                                               ;382.300.717,00
SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS PÚBLICOS                                         ;0,00
SECRETARIA MUNICIPAL DE SAÚDE                                                             ;0,00
SECRETARIA MUNICIPAL DE SAÚDE E DEFESA CIVIL                                              ;2.060.642.559,00
SECRETARIA MUNICIPAL DE TRABALHO E EMPREGO                                                ;8.117.885,00
SECRETARIA MUNICIPAL DE TRANSPORTES                                                       ;50.234.376,00
SECRETARIA MUNICIPAL DE URBANISMO                                                         ;40.524.687,00
SECRETARIA MUNICIPAL DO HABITAT                                                           ;0,00
