Orgao;Valor Pago
FUNDO DE CONSERVAÇÃO AMBIENTAL                                                            ;15.874.534,00
FUNDO DE DESENVOLVIMENTO ECONÔMICO E TRABALHO DO MRJ                                      ;1.000,00
FUNDO DE MOBILIZAÇÃO DO ESPORTE OLÍMPICO                                                  ;2.110.000,00
FUNDO DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                                       ;4.780.178.368,00
FUNDO ESPECIAL DE ILUMINAÇÃO PÚBLICA                                                      ;285.715.120,00
FUNDO ESPECIAL PROJETO TIRADENTES                                                         ;118.310,00
FUNDO MUNCIPAL DO IDOSO                                                                   ;5.071,00
FUNDO MUNICIPAL ANTIDROGAS                                                                ;0,00
FUNDO MUNICIPAL DE AMPARO À PESQUISA                                                      ;0,00
FUNDO MUNICIPAL DE AMPARO À PESQUISA DO MUNICÍPIO DO RIO DE JANEIRO                       ;2.168,00
FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                     ;124.199.782,00
FUNDO MUNICIPAL DE CONSERVAÇÃO DO PATRIMONIO CULTURAL                                     ;3.227.773,00
FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO                                                 ;107.993.065,00
FUNDO MUNICIPAL DE HABITAÇÃO                                                              ;246.663.296,00
FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL                                          ;2.910.435,00
FUNDO MUNICIPAL DE PROTEÇÃO E DEFESA DO CONSUMIDOR                                        ;1.512.104,00
FUNDO MUNICIPAL DO IDOSO                                                                  ;0,00
FUNDO MUNICIPAL PARA ATENDIMENTO DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE                 ;936.152,00
FUNDO MUNIICIPAL ANTIDROGAS                                                               ;4.060,00
FUNDO ORÇAMENTÁRIO ESPECIAL DA PGM                                                        ;28.060.794,00
GABINETE DO PREFEITO                                                                      ;38.090.132,00
GUARDA MUNICIPAL DO RIO DE JANEIRO                                                        ;526.363.505,00
INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                     ;104.649.000,00
INSTITUTO MUNICIPAL DE URBANISMO PEREIRA PASSOS                                           ;22.611.216,00
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS LTDA.                                          ;31.681.755,00
PROCURADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                         ;200.578.136,00
RESERVA DE CONTINGÊNCIA                                                                   ;75.071.522,00
RIOCENTRO S.A. - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO              ;14.805.223,00
SECRETARIA ESPECIAL DE ABASTECIMENTO E SEGURANÇA ALIMENTAR                                ;0,00
SECRETARIA ESPECIAL DE CIÊNCIA E TECNOLOGIA                                               ;39.526.955,00
SECRETARIA ESPECIAL DE CONCESSÕES E PARCERIAS PÚBLICO PRIVADAS                            ;279.984.061,00
SECRETARIA ESPECIAL DE DESENVOLVIMENTO ECONÔMICO SOLIDÁRIO                                ;0,00
SECRETARIA ESPECIAL DE ENVELHECIMENTO SAUDÁVEL E QUALIDADE DE VIDA                        ;59.993.313,00
SECRETARIA ESPECIAL DE POLÍTICAS PARA AS MULHERES                                         ;7.582.280,00
SECRETARIA ESPECIAL DE PROMOÇÃO E DEFESA DOS ANIMAIS                                      ;8.710.923,00
SECRETARIA ESPECIAL DE TURISMO                                                            ;1.608.345,00
SECRETARIA ESPECIAL DO ENVELHECIMENTO SAUDÁVEL E QUALIDADE DE VIDA                        ;0,00
SECRETARIA EXECUTIVA DE COORDENAÇÃO DE GOVERNO                                            ;14.827.211,00
SECRETARIA MUNICIPAL DA CASA CIVIL                                                        ;178.890.863,00
SECRETARIA MUNICIPAL DA PESSOA COM DEFICIÊNCIA                                            ;49.345.060,00
SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO                                                     ;52.915.864,00
SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL E DIREITOS HUMANOS                             ;254.179.769,00
SECRETARIA MUNICIPAL DE CONSERVAÇÃO E MEIO AMBIENTE                                       ;60.086.055,00
SECRETARIA MUNICIPAL DE CONSERVAÇÃO E SERVIÇOS PÚBLICOS                                   ;382.532.570,00
SECRETARIA MUNICIPAL DE CULTURA                                                           ;196.596.109,00
SECRETARIA MUNICIPAL DE DESENVOLVIMENTO, EMPREGO E INOVAÇÃO                               ;13.739.248,00
SECRETARIA MUNICIPAL DE EDUCAÇÃO                                                          ;6.478.644.978,00
SECRETARIA MUNICIPAL DE EDUCAÇÃO, ESPORTES E LAZER                                        ;0,00
SECRETARIA MUNICIPAL DE ESPORTES E LAZER                                                  ;43.737.361,00
SECRETARIA MUNICIPAL DE FAZENDA                                                           ;307.258.765,00
SECRETARIA MUNICIPAL DE HABITAÇÃO E CIDADANIA                                             ;43.449.484,00
SECRETARIA MUNICIPAL DE OBRAS                                                             ;0,00
SECRETARIA MUNICIPAL DE ORDEM PÚBLICA                                                     ;32.097.305,00
SECRETARIA MUNICIPAL DE RELAÇÕES INSTITUCIONAIS                                           ;0,00
SECRETARIA MUNICIPAL DE SAÚDE                                                             ;5.342.095.903,00
SECRETARIA MUNICIPAL DE TRANSPORTES                                                       ;59.294.084,00
SECRETARIA MUNICIPAL DE URBANISMO                                                         ;75.701.846,00
SECRETARIA MUNICIPAL DE URBANISMO, INFRAESTRUTURA E HABITAÇÃO                             ;1.074.014.023,00
