Orgao;Valor Pago
SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL E DIREITOS HUMANOS                             ;248.592.124,00
SECRETARIA MUNICIPAL DE CONSERVAÇÃO E MEIO AMBIENTE                                       ;0,00
SECRETARIA MUNICIPAL DE CONSERVAÇÃO E SERVIÇOS PÚBLICOS                                   ;0,00
SECRETARIA MUNICIPAL DE CULTURA                                                           ;129.209.574,00
SECRETARIA MUNICIPAL DE DESENVOLVIMENTO, EMPREGO E INOVAÇÃO                               ;44.417.678,00
SECRETARIA MUNICIPAL DE EDUCAÇÃO                                                          ;6.783.689.850,00
SECRETARIA MUNICIPAL DE FAZENDA                                                           ;371.033.253,00
SECRETARIA MUNICIPAL DE MEIO AMBIENTE DA CIDADE                                           ;231.266.619,00
SECRETARIA MUNICIPAL DE ORDEM PÚBLICA                                                     ;28.869.139,00
SECRETARIA MUNICIPAL DE SAÚDE                                                             ;5.043.515.663,00
SECRETARIA MUNICIPAL DE TRANSPORTES                                                       ;58.638.254,00
SECRETARIA MUNICIPAL DE URBANISMO                                                         ;57.093.860,00
SECRETARIA MUNICIPAL DE URBANISMO, INFRAESTRUTURA E HABITAÇÃO                             ;532.926.823,00
SUBSECRETARIA DE PROMOÇÃO DE EVENTOS                                                      ;3.601.733,00
