Orgao;Valor Pago
FUNDO ESPECIAL DE ORDEM PÚBLICA                                                           ;40.938.213,00
FUNDO ESPECIAL DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                              ;6.275.000.659,00
FUNDO ESPECIAL PROJETO TIRADENTES                                                         ;140.559,00
FUNDO MUNICIPAL ANTIDROGAS                                                                ;3,00
FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                     ;212.187.788,00
FUNDO MUNICIPAL DE CULTURA                                                                ;371.611,00
FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO                                                 ;2.000,00
FUNDO MUNICIPAL DE HABITAÇÃO                                                              ;131.150.463,00
FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL                                          ;1.000,00
FUNDO MUNICIPAL DE PROTEÇÃO E DEFESA DO CONSUMIDOR                                        ;3.798.021,00
FUNDO MUNICIPAL DE SANEAMENTO BÁSICO                                                      ;1.000,00
FUNDO MUNICIPAL DE SOLIDARIEDADE                                                          ;1.000,00
FUNDO MUNICIPAL DO IDOSO                                                                  ;607.387,00
FUNDO MUNICIPAL DO TRABALHO                                                               ;931.340,00
FUNDO MUNICIPAL PARA ATENDIMENTO DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE                 ;1.486.242,00
FUNDO MUNICIPAL PARA OS ESPORTES                                                          ;3.000,00
FUNDO ORÇAMENTÁRIO ESPECIAL DA PGM                                                        ;23.151.255,00
GABINETE DO PREFEITO                                                                      ;132.082.438,00
GUARDA MUNICIPAL DO RIO DE JANEIRO                                                        ;604.840.442,00
INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                     ;104.324.687,00
INSTITUTO MUNICIPAL DE URBANISMO PEREIRA PASSOS                                           ;9.296.743,00
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOSLTDA                                            ;22.384.775,00
PROCURADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                         ;542.578.353,00
RESERVA DE CONTINGÊNCIA                                                                   ;63.118.000,00
RIOCENTRO S.A. - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO              ;0,00
RIOCENTRO S/A - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO               ;5.367.264,00
SECRETARIA DE POLÍTICAS E PROMOÇÃO DA MULHER                                              ;24.874.906,00
SECRETARIA ESPECIAL DA JUVENTUDE CARIOCA                                                  ;24.827.528,00
SECRETARIA ESPECIAL DE AÇÃO COMUNITÁRIA                                                   ;97.998.024,00
SECRETARIA ESPECIAL DE CIDADANIA                                                          ;2.420.987,00
SECRETARIA ESPECIAL DE INTEGRAÇÃO METROPOLITANA                                           ;153.000,00
SECRETARIA ESPECIAL DE TURISMO E LEGADO OLÍMPICO                                          ;0,00
SECRETARIA MUNICIPAL DA CASA CIVIL                                                        ;0,00
SECRETARIA MUNICIPAL DA PESSOA COM DEFICIÊNCIA                                            ;55.644.135,00
SECRETARIA MUNICIPAL DA PESSOA COM DEFICIÊNCIA E TECNOLOGIA                               ;0,00
SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                ;380.265.872,00
SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL E DIREITOS HUMANOS                             ;0,00
SECRETARIA MUNICIPAL DE CIÊNCIA E TECNOLOGIA                                              ;47.423.846,00
SECRETARIA MUNICIPAL DE CONSERVAÇÃO                                                       ;605.808.932,00
SECRETARIA MUNICIPAL DE CULTURA                                                           ;185.474.660,00
SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, INOVAÇÃO E SIMPLIFICAÇÃO               ;56.542.800,00
SECRETARIA MUNICIPAL DE DESENVOLVIMENTO, EMPREGO E INOVAÇÃO                               ;0,00
SECRETARIA MUNICIPAL DE EDUCAÇÃO                                                          ;8.377.980.986,00
SECRETARIA MUNICIPAL DE ESPORTES                                                          ;114.142.563,00
SECRETARIA MUNICIPAL DE FAZENDA                                                           ;0,00
SECRETARIA MUNICIPAL DE FAZENDA E PLANEJAMENTO                                            ;464.317.542,00
SECRETARIA MUNICIPAL DE GOVERNO E INTEGRIDADE PÚBLICA                                     ;176.562.274,00
SECRETARIA MUNICIPAL DE HABITAÇÃO                                                         ;28.206.621,00
SECRETARIA MUNICIPAL DE INFRAESTRUTURA                                                    ;1.207.422.005,00
SECRETARIA MUNICIPAL DE INFRAESTRUTURA, HABITAÇÃO E CONSERVAÇÃO                           ;0,00
SECRETARIA MUNICIPAL DE MEIO AMBIENTE DA CIDADE                                           ;68.477.306,00
SECRETARIA MUNICIPAL DE ORDEM PÚBLICA                                                     ;38.690.339,00
SECRETARIA MUNICIPAL DE PLANEJAMENTO URBANO                                               ;29.119.464,00
SECRETARIA MUNICIPAL DE PROTEÇÃO E DEFESA DOS ANIMAIS                                     ;27.073.038,00
SECRETARIA MUNICIPAL DE SAÚDE                                                             ;7.552.416.232,00
SECRETARIA MUNICIPAL DE TRABALHO E RENDA                                                  ;19.952.936,00
SECRETARIA MUNICIPAL DE TRANSPORTES                                                       ;50.992.530,00
SECRETARIA MUNICIPAL DE TURISMO                                                           ;1.161.800,00
SECRETARIA MUNICIPAL DE URBANISMO                                                         ;0,00
SECRETARIA MUNICIPAL DO ENVELHECIMENTO SAUDÁVEL E QUALIDADE DE VIDA                       ;48.173.414,00
SECRETARIA MUNICIPAL DO ENVELHECIMENTO SAUDÁVEL, QUALIDADE DE VIDA E EVENTOS              ;0,00
VICE-PREFEITURA                                                                           ;74.200,00
