Orgao;Valor Pago
FUNDO DE ASSISTÊNCIA À SAÚDE DO SERVIDOR;107.350.000,00
FUNDO DE CONSERVAÇÃO AMBIENTAL                                                            ;8.899.003,00
FUNDO DE DESENVOLVIMENTO ECONÔMICO E TRABALHO DO MRJ                                      ;25.269,00
FUNDO DE MOBILIZAÇÃO DO ESPORTE OLÍMPICO                                                  ;2.010.334,00
FUNDO DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                                       ;0,00
FUNDO ESPECIAL DE ILUMINAÇÃO PÚBLICA                                                      ;196.303.392,00
FUNDO ESPECIAL DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                              ;2.704.812.950,00
FUNDO ESPECIAL PROJETO TIRADENTES                                                         ;90.035,00
FUNDO MUNICIPAL ANTIDROGAS                                                                ;90.880,00
FUNDO MUNICIPAL DE AMPARO À PESQUISA DO MUNICÍPIO DO RIO DE JANEIRO                       ;10.000.000,00
FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                     ;113.428.330,00
FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO                                                 ;73.309,00
FUNDO MUNICIPAL DE HABITAÇÃO                                                              ;50.494.390,00
FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL                                          ;17.717.477,00
FUNDO MUNICIPAL DE PROTEÇÃO E DEFESA DO CONSUMIDOR                                        ;8.051,00
FUNDO MUNICIPAL DO IDOSO                                                                  ;4.864,00
FUNDO MUNICIPAL PARA ATENDIMENTO DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE                 ;1.399.415,00
FUNDO ORÇAMENTÁRIO ESPECIAL DA PGM                                                        ;19.710.942,00
GABINETE DO PREFEITO                                                                      ;19.568.459,00
GUARDA MUNICIPAL DO RIO DE JANEIRO                                                        ;213.766.866,00
INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                     ;217.688.693,00
INSTITUTO MUNICIPAL DE URBANISMO PEREIRA PASSOS                                           ;11.393.606,00
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS  LTDA                                          ;0,00
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS LTDA                                           ;0,00
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS LTDA.                                          ;31.678.092,00
PROCURADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                         ;101.494.048,00
RESERVA DE CONTINGÊNCIA                                                                   ;31.804.782,00
RIOCENTRO S.A. - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO              ;5.644.080,00
RIOCENTRO S/A - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO               ;0,00
SECRETARIA ESPECIAL DA COPA 2014 E RIO 2016                                               ;0,00
SECRETARIA ESPECIAL DA ORDEM PÚBLICA                                                      ;19.794.821,00
SECRETARIA ESPECIAL DE CIÊNCIA E TECNOLOGIA                                               ;20.060.378,00
SECRETARIA ESPECIAL DE DESENVOLVIMENTO ECONÔMICO SOLIDÁRIO                                ;4.523.049,00
SECRETARIA ESPECIAL DE PROMOÇÃO E DEFESA DOS ANIMAIS                                      ;5.533.620,00
SECRETARIA ESPECIAL DE TURISMO                                                            ;11.548.702,00
SECRETARIA ESPECIAL DO ENVELHECIMENTO SAUDÁVEL E QUALIDADE DE VIDA                        ;35.990.513,00
SECRETARIA EXTRAORDINÁRIA DE PROTEÇÃO E DEFESA DO CONSUMIDOR                              ;3.000,00
SECRETARIA MUNICIPAL DA CASA CIVIL                                                        ;147.697.122,00
SECRETARIA MUNICIPAL DA ORDEM PÚBLICA                                                     ;0,00
SECRETARIA MUNICIPAL DA PESSOA COM DEFICIÊNCIA                                            ;17.840.851,00
SECRETARIA MUNICIPAL DAS CULTURAS                                                         ;0,00
SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO                                                     ;61.545.782,00
SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                ;264.214.386,00
SECRETARIA MUNICIPAL DE CONSERVAÇÃO E SERVIÇOS PÚBLICOS                                   ;353.643.138,00
SECRETARIA MUNICIPAL DE CULTURA                                                           ;151.863.604,00
SECRETARIA MUNICIPAL DE EDUCAÇÃO                                                          ;4.100.091.848,00
SECRETARIA MUNICIPAL DE ESPORTES E LAZER                                                  ;41.301.676,00
SECRETARIA MUNICIPAL DE FAZENDA                                                           ;207.097.260,00
SECRETARIA MUNICIPAL DE HABITAÇÃO                                                         ;506.847.216,00
SECRETARIA MUNICIPAL DE MEIO AMBIENTE                                                     ;58.280.581,00
SECRETARIA MUNICIPAL DE OBRAS                                                             ;1.741.339.307,00
SECRETARIA MUNICIPAL DE OBRAS E CONSERVAÇÃO                                               ;0,00
SECRETARIA MUNICIPAL DE SAÚDE                                                             ;0,00
SECRETARIA MUNICIPAL DE SAÚDE E DEFESA CIVIL                                              ;4.014.721.865,00
SECRETARIA MUNICIPAL DE TRABALHO E EMPREGO                                                ;25.087.069,00
SECRETARIA MUNICIPAL DE TRANSPORTES                                                       ;37.498.262,00
SECRETARIA MUNICIPAL DE URBANISMO                                                         ;50.625.450,00
