Orgao;Valor Pago
FUNDO MUNICIPAL DO IDOSO                                                                  ;0,00
FUNDO MUNICIPAL PARA ATENDIMENTO DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE                 ;677.006,00
FUNDO ORÇAMENTÁRIO ESPECIAL DA PGM                                                        ;19.474.649,00
GABINETE DO PREFEITO                                                                      ;15.065.610,00
GUARDA MUNICIPAL DO RIO DE JANEIRO                                                        ;224.545.805,00
INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                     ;232.223.000,00
INSTITUTO MUNICIPAL DE URBANISMO PEREIRA PASSOS                                           ;15.937.077,00
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS  LTDA                                          ;31.604.705,00
PROCURADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                         ;0,00
PROCURADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO - PGM                                   ;129.171.129,00
RESERVA DE CONTINGÊNCIA                                                                   ;36.000.000,00
RIOCENTRO S.A. - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO              ;0,00
RIOCENTRO S/A - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO               ;3.736.439,00
SECRETARIA ESPECIAL DA COPA 2014 E RIO 2016                                               ;2.427.890,00
SECRETARIA ESPECIAL DE CIÊNCIA E TECNOLOGIA                                               ;11.053.057,00
SECRETARIA ESPECIAL DE DESENVOLVIMENTO ECONÔMICO SOLIDÁRIO                                ;11.313.139,00
SECRETARIA ESPECIAL DE PROMOÇÃO E DEFESA DOS ANIMAIS                                      ;3.689.175,00
SECRETARIA ESPECIAL DE TURISMO                                                            ;3.192.401,00
SECRETARIA ESPECIAL DO ENVELHECIMENTO SAUDÁVEL E QUALIDADE DE VIDA                        ;15.437.772,00
SECRETARIA MUNICIPAL DA CASA CIVIL                                                        ;121.484.156,00
SECRETARIA MUNICIPAL DA ORDEM PÚBLICA                                                     ;7.342.384,00
SECRETARIA MUNICIPAL DA PESSOA COM DEFICIÊNCIA                                            ;20.180.157,00
SECRETARIA MUNICIPAL DAS CULTURAS                                                         ;0,00
SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO                                                     ;53.000.302,00
SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                ;144.486.221,00
SECRETARIA MUNICIPAL DE CULTURA                                                           ;79.015.718,00
SECRETARIA MUNICIPAL DE EDUCAÇÃO                                                          ;2.458.768.126,00
SECRETARIA MUNICIPAL DE ESPORTES E LAZER                                                  ;63.329.122,00
SECRETARIA MUNICIPAL DE FAZENDA                                                           ;194.420.868,00
SECRETARIA MUNICIPAL DE HABITAÇÃO                                                         ;361.071.431,00
SECRETARIA MUNICIPAL DE MEIO AMBIENTE                                                     ;50.617.945,00
SECRETARIA MUNICIPAL DE OBRAS E CONSERVAÇÃO                                               ;666.636.891,00
SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS PÚBLICOS                                         ;0,00
SECRETARIA MUNICIPAL DE SAÚDE                                                             ;0,00
SECRETARIA MUNICIPAL DE SAÚDE E DEFESA CIVIL                                              ;2.457.980.814,00
SECRETARIA MUNICIPAL DE TRABALHO E EMPREGO                                                ;35.797.817,00
SECRETARIA MUNICIPAL DE TRANSPORTES                                                       ;23.688.389,00
SECRETARIA MUNICIPAL DE URBANISMO                                                         ;43.544.383,00
SECRETARIA MUNICIPAL DO HABITAT                                                           ;0,00
