Orgao;Valor Pago
FUNDO MUNICIPAL PARA ATENDIMENTO DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE                 ;6.145.021,00
FUNDO ORÇAMENTÁRIO ESPECIAL DA PGM                                                        ;33.072.038,00
GABINETE DO PREFEITO                                                                      ;38.501.173,00
GUARDA MUNICIPAL DO RIO DE JANEIRO                                                        ;334.726.399,00
INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                     ;203.805.750,00
INSTITUTO MUNICIPAL DE URBANISMO PEREIRA PASSOS                                           ;39.848.400,00
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS LTDA.                                          ;34.248.094,00
PROCURADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                         ;173.778.589,00
RESERVA DE CONTINGÊNCIA                                                                   ;40.708.861,00
RIOCENTRO S.A. - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO              ;6.267.361,00
SECRETARIA ESPECIAL DE ABASTECIMENTO E SEGURANÇA ALIMENTAR                                ;11.478.183,00
SECRETARIA ESPECIAL DE CIÊNCIA E TECNOLOGIA                                               ;23.612.092,00
SECRETARIA ESPECIAL DE DESENVOLVIMENTO ECONÔMICO SOLIDÁRIO                                ;7.221.990,00
SECRETARIA ESPECIAL DE POLÍTICAS PARA AS MULHERES                                         ;2.629.323,00
SECRETARIA ESPECIAL DE PROMOÇÃO E DEFESA DOS ANIMAIS                                      ;9.730.029,00
SECRETARIA ESPECIAL DE TURISMO                                                            ;33.653.689,00
SECRETARIA ESPECIAL DO ENVELHECIMENTO SAUDÁVEL E QUALIDADE DE VIDA                        ;44.152.322,00
SECRETARIA EXECUTIVA DE COORDENAÇÃO DE GOVERNO                                            ;27.078.800,00
SECRETARIA EXTRAORDINÁRIA DE PROTEÇÃO E DEFESA DO CONSUMIDOR                              ;2.248.363,00
SECRETARIA MUNICIPAL DA CASA CIVIL                                                        ;711.562.539,00
SECRETARIA MUNICIPAL DA ORDEM PÚBLICA                                                     ;0,00
SECRETARIA MUNICIPAL DA PESSOA COM DEFICIÊNCIA                                            ;19.166.919,00
SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO                                                     ;54.147.756,00
SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                ;0,00
SECRETARIA MUNICIPAL DE CONSERVAÇÃO E SERVIÇOS PÚBLICOS                                   ;352.490.352,00
SECRETARIA MUNICIPAL DE CULTURA                                                           ;180.303.444,00
SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL                                            ;272.649.246,00
SECRETARIA MUNICIPAL DE EDUCAÇÃO                                                          ;5.235.719.727,00
SECRETARIA MUNICIPAL DE ESPORTES E LAZER                                                  ;54.821.644,00
SECRETARIA MUNICIPAL DE FAZENDA                                                           ;262.684.575,00
SECRETARIA MUNICIPAL DE GOVERNO                                                           ;0,00
SECRETARIA MUNICIPAL DE HABITAÇÃO                                                         ;55.298.177,00
SECRETARIA MUNICIPAL DE MEIO AMBIENTE                                                     ;84.450.839,00
SECRETARIA MUNICIPAL DE OBRAS                                                             ;2.236.658.940,00
SECRETARIA MUNICIPAL DE OBRAS E CONSERVAÇÃO                                               ;0,00
SECRETARIA MUNICIPAL DE ORDEM PÚBLICA                                                     ;18.446.224,00
SECRETARIA MUNICIPAL DE SAÚDE                                                             ;4.350.262.517,00
SECRETARIA MUNICIPAL DE SAÚDE E DEFESA CIVIL                                              ;0,00
SECRETARIA MUNICIPAL DE TRABALHO E EMPREGO                                                ;20.588.356,00
SECRETARIA MUNICIPAL DE TRANSPORTES                                                       ;33.474.198,00
SECRETARIA MUNICIPAL DE URBANISMO                                                         ;58.294.114,00
