Orgao;Valor Pago
SECRETARIA ESPECIAL DO ENVELHECIMENTO SAUDÁVEL E QUALIDADE DE VIDA                        ;48.043.070,00
SECRETARIA EXTRAORDINÁRIA DE PROTEÇÃO E DEFESA DO CONSUMIDOR                              ;2.949.650,00
SECRETARIA MUNICIPAL DA CASA CIVIL                                                        ;489.545.290,00
SECRETARIA MUNICIPAL DA ORDEM PÚBLICA                                                     ;20.688.036,00
SECRETARIA MUNICIPAL DA PESSOA COM DEFICIÊNCIA                                            ;18.754.404,00
SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO                                                     ;58.709.742,00
SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                ;0,00
SECRETARIA MUNICIPAL DE CONSERVAÇÃO E SERVIÇOS PÚBLICOS                                   ;406.620.866,00
SECRETARIA MUNICIPAL DE CULTURA                                                           ;176.280.220,00
SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL                                            ;277.321.546,00
SECRETARIA MUNICIPAL DE EDUCAÇÃO                                                          ;4.714.964.637,00
SECRETARIA MUNICIPAL DE ESPORTES E LAZER                                                  ;37.158.014,00
SECRETARIA MUNICIPAL DE FAZENDA                                                           ;227.657.237,00
SECRETARIA MUNICIPAL DE GOVERNO                                                           ;0,00
SECRETARIA MUNICIPAL DE HABITAÇÃO                                                         ;686.449.861,00
SECRETARIA MUNICIPAL DE MEIO AMBIENTE                                                     ;82.253.524,00
SECRETARIA MUNICIPAL DE OBRAS                                                             ;1.767.730.537,00
SECRETARIA MUNICIPAL DE OBRAS E CONSERVAÇÃO                                               ;0,00
SECRETARIA MUNICIPAL DE SAÚDE                                                             ;4.606.746.080,00
SECRETARIA MUNICIPAL DE SAÚDE E DEFESA CIVIL                                              ;0,00
SECRETARIA MUNICIPAL DE TRABALHO E EMPREGO                                                ;20.276.972,00
SECRETARIA MUNICIPAL DE TRANSPORTES                                                       ;40.171.813,00
SECRETARIA MUNICIPAL DE URBANISMO                                                         ;60.154.900,00
