Orgao;Valor Pago
SECRETARIA ESPECIAL DE DESENVOLVIMENTO ECONÔMICO CIÊNCIA E TECNOLOGIA                     ;1.826.314,00
SECRETARIA ESPECIAL DE EVENTOS                                                            ;1.709.072,00
SECRETARIA ESPECIAL DE PREVENÇÃO A DEPENDÊNCIA QUÍMICA                                    ;0,00
SECRETARIA ESPECIAL DE PREVENÇÃO À DEPENDÊNCIA QUÍMICA                                    ;2.523.992,00
SECRETARIA ESPECIAL DE PROMOÇÃO E DEFESA DOS ANIMAIS                                      ;3.132.368,00
SECRETARIA ESPECIAL DE PUBLICIDADE, PROPAGANDA E PESQUISA                                 ;3.209.139,00
SECRETARIA ESPECIAL DE TURISMO                                                            ;4.424.800,00
SECRETARIA EXTRAORDINÁRIA DA QUALIDADE DE VIDA                                            ;12.834.893,00
SECRETARIA MUNICIPAL DA CASA CIVIL                                                        ;0,00
SECRETARIA MUNICIPAL DA PESSOA COM DEFICIÊNCIA                                            ;17.543.414,00
SECRETARIA MUNICIPAL DAS CULTURAS                                                         ;59.612.196,00
SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO                                                     ;38.948.526,00
SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                ;120.582.263,00
SECRETARIA MUNICIPAL DE EDUCAÇÃO                                                          ;1.974.658.307,00
SECRETARIA MUNICIPAL DE ESPORTES E LAZER                                                  ;91.496.679,00
SECRETARIA MUNICIPAL DE FAZENDA                                                           ;154.710.906,00
SECRETARIA MUNICIPAL DE GOVERNO                                                           ;33.708.424,00
SECRETARIA MUNICIPAL DE MEIO AMBIENTE                                                     ;48.654.160,00
SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS PÚBLICOS                                         ;345.381.915,00
SECRETARIA MUNICIPAL DE SAÚDE                                                             ;1.852.651.129,00
SECRETARIA MUNICIPAL DE TRABALHO E EMPREGO                                                ;8.738.440,00
SECRETARIA MUNICIPAL DE TRANSPORTES                                                       ;41.141.674,00
SECRETARIA MUNICIPAL DE URBANISMO                                                         ;27.900.206,00
SECRETARIA MUNICIPAL DO HABITAT                                                           ;275.972.257,00
